441
0	0	0	-1
0.5	0	0.125	-1
1	0	1	-1
1.5	0	3.375	-1
2	0	8	-1
2.5	0	15.625	-1
3	0	27	-1
3.5	0	42.875	-1
4	0	64	-1
4.5	0	91.125	-1
5	0	125	-1
5.5	0	166.375	-1
6	0	216	-1
6.5	0	274.625	-1
7	0	343	-1
7.5	0	421.875	-1
8	0	512	-1
8.5	0	614.125	-1
9	0	729	-1
9.5	0	857.375	-1
10	0	1000	-1
0	0.5	0.125	-1
0.5	0.5	0.25	-1
1	0.5	1.125	-1
1.5	0.5	3.5	-1
2	0.5	8.125	-1
2.5	0.5	15.75	-1
3	0.5	27.125	-1
3.5	0.5	43	-1
4	0.5	64.125	-1
4.5	0.5	91.25	-1
5	0.5	125.125	-1
5.5	0.5	166.5	-1
6	0.5	216.125	-1
6.5	0.5	274.75	-1
7	0.5	343.125	-1
7.5	0.5	422	-1
8	0.5	512.125	-1
8.5	0.5	614.25	-1
9	0.5	729.125	-1
9.5	0.5	857.5	-1
10	0.5	1000.125	-1
0	1	1	-1
0.5	1	1.125	-1
1	1	2	-1
1.5	1	4.375	-1
2	1	9	-1
2.5	1	16.625	-1
3	1	28	-1
3.5	1	43.875	-1
4	1	65	-1
4.5	1	92.125	-1
5	1	126	-1
5.5	1	167.375	-1
6	1	217	-1
6.5	1	275.625	-1
7	1	344	-1
7.5	1	422.875	-1
8	1	513	-1
8.5	1	615.125	-1
9	1	730	-1
9.5	1	858.375	-1
10	1	1001	-1
0	1.5	3.375	-1
0.5	1.5	3.5	-1
1	1.5	4.375	-1
1.5	1.5	6.75	-1
2	1.5	11.375	-1
2.5	1.5	19	-1
3	1.5	30.375	-1
3.5	1.5	46.25	-1
4	1.5	67.375	-1
4.5	1.5	94.5	-1
5	1.5	128.375	-1
5.5	1.5	169.75	-1
6	1.5	219.375	-1
6.5	1.5	278	-1
7	1.5	346.375	-1
7.5	1.5	425.25	-1
8	1.5	515.375	-1
8.5	1.5	617.5	-1
9	1.5	732.375	-1
9.5	1.5	860.75	-1
10	1.5	1003.375	-1
0	2	8	-1
0.5	2	8.125	-1
1	2	9	-1
1.5	2	11.375	-1
2	2	16	-1
2.5	2	23.625	-1
3	2	35	-1
3.5	2	50.875	-1
4	2	72	-1
4.5	2	99.125	-1
5	2	133	-1
5.5	2	174.375	-1
6	2	224	-1
6.5	2	282.625	-1
7	2	351	-1
7.5	2	429.875	-1
8	2	520	-1
8.5	2	622.125	-1
9	2	737	-1
9.5	2	865.375	-1
10	2	1008	-1
0	2.5	15.625	-1
0.5	2.5	15.75	-1
1	2.5	16.625	-1
1.5	2.5	19	-1
2	2.5	23.625	-1
2.5	2.5	31.25	-1
3	2.5	42.625	-1
3.5	2.5	58.5	-1
4	2.5	79.625	-1
4.5	2.5	106.75	-1
5	2.5	140.625	-1
5.5	2.5	182	-1
6	2.5	231.625	-1
6.5	2.5	290.25	-1
7	2.5	358.625	-1
7.5	2.5	437.5	-1
8	2.5	527.625	-1
8.5	2.5	629.75	-1
9	2.5	744.625	-1
9.5	2.5	873	-1
10	2.5	1015.625	-1
0	3	27	-1
0.5	3	27.125	-1
1	3	28	-1
1.5	3	30.375	-1
2	3	35	-1
2.5	3	42.625	-1
3	3	54	-1
3.5	3	69.875	-1
4	3	91	-1
4.5	3	118.125	-1
5	3	152	-1
5.5	3	193.375	-1
6	3	243	-1
6.5	3	301.625	-1
7	3	370	-1
7.5	3	448.875	-1
8	3	539	-1
8.5	3	641.125	-1
9	3	756	-1
9.5	3	884.375	-1
10	3	1027	-1
0	3.5	42.875	-1
0.5	3.5	43	-1
1	3.5	43.875	-1
1.5	3.5	46.25	-1
2	3.5	50.875	-1
2.5	3.5	58.5	-1
3	3.5	69.875	-1
3.5	3.5	85.75	-1
4	3.5	106.875	-1
4.5	3.5	134	-1
5	3.5	167.875	-1
5.5	3.5	209.25	-1
6	3.5	258.875	-1
6.5	3.5	317.5	-1
7	3.5	385.875	-1
7.5	3.5	464.75	-1
8	3.5	554.875	-1
8.5	3.5	657	-1
9	3.5	771.875	-1
9.5	3.5	900.25	-1
10	3.5	1042.875	-1
0	4	64	-1
0.5	4	64.125	-1
1	4	65	-1
1.5	4	67.375	-1
2	4	72	-1
2.5	4	79.625	-1
3	4	91	-1
3.5	4	106.875	-1
4	4	128	-1
4.5	4	155.125	-1
5	4	189	-1
5.5	4	230.375	-1
6	4	280	-1
6.5	4	338.625	-1
7	4	407	-1
7.5	4	485.875	-1
8	4	576	-1
8.5	4	678.125	-1
9	4	793	-1
9.5	4	921.375	-1
10	4	1064	-1
0	4.5	91.125	-1
0.5	4.5	91.25	-1
1	4.5	92.125	-1
1.5	4.5	94.5	-1
2	4.5	99.125	-1
2.5	4.5	106.75	-1
3	4.5	118.125	-1
3.5	4.5	134	-1
4	4.5	155.125	-1
4.5	4.5	182.25	-1
5	4.5	216.125	-1
5.5	4.5	257.5	-1
6	4.5	307.125	-1
6.5	4.5	365.75	-1
7	4.5	434.125	-1
7.5	4.5	513	-1
8	4.5	603.125	-1
8.5	4.5	705.25	-1
9	4.5	820.125	-1
9.5	4.5	948.5	-1
10	4.5	1091.125	-1
0	5	125	-1
0.5	5	125.125	-1
1	5	126	-1
1.5	5	128.375	-1
2	5	133	-1
2.5	5	140.625	-1
3	5	152	-1
3.5	5	167.875	-1
4	5	189	-1
4.5	5	216.125	-1
5	5	250	-1
5.5	5	291.375	-1
6	5	341	-1
6.5	5	399.625	-1
7	5	468	-1
7.5	5	546.875	-1
8	5	637	-1
8.5	5	739.125	-1
9	5	854	-1
9.5	5	982.375	-1
10	5	1125	-1
0	5.5	166.375	-1
0.5	5.5	166.5	-1
1	5.5	167.375	-1
1.5	5.5	169.75	-1
2	5.5	174.375	-1
2.5	5.5	182	-1
3	5.5	193.375	-1
3.5	5.5	209.25	-1
4	5.5	230.375	-1
4.5	5.5	257.5	-1
5	5.5	291.375	-1
5.5	5.5	332.75	-1
6	5.5	382.375	-1
6.5	5.5	441	-1
7	5.5	509.375	-1
7.5	5.5	588.25	-1
8	5.5	678.375	-1
8.5	5.5	780.5	-1
9	5.5	895.375	-1
9.5	5.5	1023.75	-1
10	5.5	1166.375	-1
0	6	216	-1
0.5	6	216.125	-1
1	6	217	-1
1.5	6	219.375	-1
2	6	224	-1
2.5	6	231.625	-1
3	6	243	-1
3.5	6	258.875	-1
4	6	280	-1
4.5	6	307.125	-1
5	6	341	-1
5.5	6	382.375	-1
6	6	432	-1
6.5	6	490.625	-1
7	6	559	-1
7.5	6	637.875	-1
8	6	728	-1
8.5	6	830.125	-1
9	6	945	-1
9.5	6	1073.375	-1
10	6	1216	-1
0	6.5	274.625	-1
0.5	6.5	274.75	-1
1	6.5	275.625	-1
1.5	6.5	278	-1
2	6.5	282.625	-1
2.5	6.5	290.25	-1
3	6.5	301.625	-1
3.5	6.5	317.5	-1
4	6.5	338.625	-1
4.5	6.5	365.75	-1
5	6.5	399.625	-1
5.5	6.5	441	-1
6	6.5	490.625	-1
6.5	6.5	549.25	-1
7	6.5	617.625	-1
7.5	6.5	696.5	-1
8	6.5	786.625	-1
8.5	6.5	888.75	-1
9	6.5	1003.625	-1
9.5	6.5	1132	-1
10	6.5	1274.625	-1
0	7	343	-1
0.5	7	343.125	-1
1	7	344	-1
1.5	7	346.375	-1
2	7	351	-1
2.5	7	358.625	-1
3	7	370	-1
3.5	7	385.875	-1
4	7	407	-1
4.5	7	434.125	-1
5	7	468	-1
5.5	7	509.375	-1
6	7	559	-1
6.5	7	617.625	-1
7	7	686	-1
7.5	7	764.875	-1
8	7	855	-1
8.5	7	957.125	-1
9	7	1072	-1
9.5	7	1200.375	-1
10	7	1343	-1
0	7.5	421.875	-1
0.5	7.5	422	-1
1	7.5	422.875	-1
1.5	7.5	425.25	-1
2	7.5	429.875	-1
2.5	7.5	437.5	-1
3	7.5	448.875	-1
3.5	7.5	464.75	-1
4	7.5	485.875	-1
4.5	7.5	513	-1
5	7.5	546.875	-1
5.5	7.5	588.25	-1
6	7.5	637.875	-1
6.5	7.5	696.5	-1
7	7.5	764.875	-1
7.5	7.5	843.75	-1
8	7.5	933.875	-1
8.5	7.5	1036	-1
9	7.5	1150.875	-1
9.5	7.5	1279.25	-1
10	7.5	1421.875	-1
0	8	512	-1
0.5	8	512.125	-1
1	8	513	-1
1.5	8	515.375	-1
2	8	520	-1
2.5	8	527.625	-1
3	8	539	-1
3.5	8	554.875	-1
4	8	576	-1
4.5	8	603.125	-1
5	8	637	-1
5.5	8	678.375	-1
6	8	728	-1
6.5	8	786.625	-1
7	8	855	-1
7.5	8	933.875	-1
8	8	1024	-1
8.5	8	1126.125	-1
9	8	1241	-1
9.5	8	1369.375	-1
10	8	1512	-1
0	8.5	614.125	-1
0.5	8.5	614.25	-1
1	8.5	615.125	-1
1.5	8.5	617.5	-1
2	8.5	622.125	-1
2.5	8.5	629.75	-1
3	8.5	641.125	-1
3.5	8.5	657	-1
4	8.5	678.125	-1
4.5	8.5	705.25	-1
5	8.5	739.125	-1
5.5	8.5	780.5	-1
6	8.5	830.125	-1
6.5	8.5	888.75	-1
7	8.5	957.125	-1
7.5	8.5	1036	-1
8	8.5	1126.125	-1
8.5	8.5	1228.25	-1
9	8.5	1343.125	-1
9.5	8.5	1471.5	-1
10	8.5	1614.125	-1
0	9	729	-1
0.5	9	729.125	-1
1	9	730	-1
1.5	9	732.375	-1
2	9	737	-1
2.5	9	744.625	-1
3	9	756	-1
3.5	9	771.875	-1
4	9	793	-1
4.5	9	820.125	-1
5	9	854	-1
5.5	9	895.375	-1
6	9	945	-1
6.5	9	1003.625	-1
7	9	1072	-1
7.5	9	1150.875	-1
8	9	1241	-1
8.5	9	1343.125	-1
9	9	1458	-1
9.5	9	1586.375	-1
10	9	1729	-1
0	9.5	857.375	-1
0.5	9.5	857.5	-1
1	9.5	858.375	-1
1.5	9.5	860.75	-1
2	9.5	865.375	-1
